title,url,scraped_at,published,content,tags
"""กัน จอมพลัง"" เข้าเยี่ยมลุง-ป้ากระบะ ฝากถึง ""เต้ มงคลกิตติ์"" ไม่ต้องเป็นห่วงผม",https://www.thairath.co.th/news/local/2853941,2025-04-20T19:59:19.036172,N/A,"""กัน จอมพลัง"" เข้าเยี่ยมลุง-ป้า ส่วนคู่กรณี ถ้าหากอยากจะช่วยจริงๆ ก็ยินดี พร้อมเปิดทางให้ พร้อมฝากถึง ""เต้ มงคลกิตติ์"" บอกไม่ต้องเป็นห่วงผม อยากให้ไปดูแลโซนพระราม 7 เดี๋ยวผมจัดการตรงนี้เอง",
ทั่วไทย,https://www.thairath.co.th/news/local,2025-04-20T19:59:19.422284,N/A,N/A,
คม มท. ชื่นชม “อนุทิน” จัดสอบนายอำเภอโปร่งใส สยบข่าวลือเด็กฝาก-ตั๋วเงิน,https://www.thairath.co.th/news/politic/2853949,2025-04-20T19:59:19.772935,N/A,คนมหาดไทยแห่ชื่นชม มท.1 ผู้บริหารมหาดไทย กรมการปกครอง จัดสอบนายอำเภอโปร่งใส ยึด “ระบบคุณธรรม” ให้ผลจริง คัดบุคลากรคุณภาพจากความสามารถ สยบข่าวลือเด็กฝาก-ใช้ตั๋วเงิน,
การเมือง,https://www.thairath.co.th/news/politic,2025-04-20T19:59:20.170450,N/A,N/A,
“ธรรมนัส” หาเสียงช่วย “บิ๊กโอ” ยืนยันใจนักเลง เป็นตัวแทนให้ประชาชนได้,https://www.thairath.co.th/news/politic/2853946,2025-04-20T19:59:20.632812,N/A,“ร.อ.ธรรมนัส” พาลูกพรรคกล้าธรรม ลุย อ.ช้างกลาง ปูพรมหาเสียงเลือกตั้งซ่อมนครศรีฯ เขต 8 การันตี “ก้องเกียรติ เกตุสมบัติ” ใจนักเลง คำไหนคำนั้น ยืนยัน ตนเองก็ไม่ใช่คนสีเทา แต่ใจนักเลงเหมือนกัน,
รวบแล้วมือกรีดร่างพระเลือดสาดก่อนจุดไฟเผา ยอมรับเสพยาบ้า 6 เม็ดก่อนก่อเหตุ,https://www.thairath.co.th/news/local/2853945,2025-04-20T19:59:20.989991,N/A,ตำรวจตามจับผู้ก่อเหตุใช้คัตเตอร์กรีดร่างพระจนเลือดสาดแล้วจุดไฟเผา ได้ที่ปั๊มน้ำมัน อ.นางรอง ขณะกำลังขี่รถมอเตอร์ไซค์หลบหนี ให้การวกวน อ้างสาเหตุที่ลงมือเพราทะเลาะกัน ไม่มีเรื่องเงิน ยอมรับว่าเสพยาบ้าคืนก่อเหตุ 6 เม็ด,
ปฏิบัติการ “สิงห์สายลับ” ทลายบุหรี่เถื่อนภูเก็ต พบเกี่ยวโยงนักการเมืองท้องถิ่น,https://www.thairath.co.th/news/crime/2853944,2025-04-20T19:59:21.337160,N/A,มท.1 มอบหมายให้ปลัดกระทรวงมหาดไทย สั่งการอธิบดีกรมการปกครอง จัดชุดปฏิบัติการพิเศษกรมการปกครอง ขอหมายค้นบุกทลายเครือข่ายบุหรี่เถื่อนกลางเมืองภูเก็ต พร้อมกัน 4 จุด พบเกี่ยวโยงกับนักการเมือง 1 ในผู้สมัครสภาท้องถิ่นในพื้นที่,
อาชญากรรม,https://www.thairath.co.th/news/crime,2025-04-20T19:59:21.750245,N/A,N/A,
รองผู้ว่าฯ กทม. ยันรื้อซากตึก สตง. ทันสิ้น เม.ย. จ่อเสนอปรับเงินเยียวยาที่พัก,https://www.thairath.co.th/news/local/bangkok/2853936,2025-04-20T19:59:22.157397,N/A,รองผู้ว่าฯ กทม. ยืนยันรื้อถอนซากตึก สตง. ถล่มทั้งหมดทันสิ้นเดือน เม.ย. อาจจะบวกลบเล็กน้อย พร้อมเตรียมเสนอปรับเกณฑ์เยียวยาที่พักจากเหตุแผ่นดินไหวต่อสภา พรุ่งนี้ (21 เม.ย. 68),
กทม.,https://www.thairath.co.th/news/local/bangkok,2025-04-20T19:59:22.577472,N/A,N/A,
“เต้ มงคลกิตติ์” ออกโรงเตือน “กัน จอมพลัง” คดีลูกพีช ให้ถอยเถอะน้อง,https://www.thairath.co.th/news/politic/2853935,2025-04-20T19:59:22.977596,N/A,“มงคลกิตติ์ สุขสินธารานนท์” โพสต์เฟซบุ๊ก ฝากถึง “กัน จอมพลัง” ให้จำบทเรียนทนายตั้ม อย่าเชื่อ FC มาก นายใหญ่เขาสั่งมาแล้ว ถอยเถอะน้อง บอกรู้นิสัยนักการเมืองมาเฟียดี,
อวสานสายหื่น พูดคุกคามสาววิ่งออกกำลังกาย สุดท้ายเจอคนจริง เรื่องถึงตำรวจ,https://www.thairath.co.th/news/society/2853928,2025-04-20T19:59:23.346271,N/A,สาวแชร์ประสบการณ์ โดนคนพูดคุกคามระหว่างวิ่งออกกำลังกาย หลังตั้งสติได้รีบเรียกแฟน-รปภ. มาช่วยจับตัว จนสุดท้ายอีกฝ่ายยอมไหว้ขอโทษ ก่อนใช้ช่วงชุลมุนหลบหนี ล่าสุดลงบันทึกประจำวันไว้แล้ว-ติดป้ายห้ามเข้า,
ในกระแส,https://www.thairath.co.th/news/society,2025-04-20T19:59:23.711284,N/A,N/A,
หนุ่มร้องไห้จะวิ่งเข้ากองเพลิง หวังช่วยสัตว์เลี้ยงจากไฟไหม้บ้าน วอดทั้งหลัง,https://www.thairath.co.th/news/local/2853899,2025-04-20T19:59:24.058489,N/A,หนุ่มร้องไห้จะวิ่งเข้ากองเพลิงไปช่วยสัตว์เลี้ยง หลังเกิดเหตุไฟไหม้บ้านทั้งหลัง ตำรวจต้องช่วยกันจับตัว พบแมวตาย 3 ตัว ส่วนที่เหลือช่วยออกมาได้,
ปัดเพื่อไทยดีลดึงกระทรวงมหาดไทยจากภูมิใจไทย รับเป็นไปได้ปรับ ครม.ทีมเศรษฐกิจ,https://www.thairath.co.th/news/politic/2853896,2025-04-20T19:59:24.516328,N/A,“วิสุทธิ์ ไชยณรุณ” เชื่อเป็นไปได้ ปรับ ครม.ทีมเศรษฐกิจ เผยเสียงสะท้อน ส.ส. เป็นปัญหาเศรษฐกิจ อยากให้ปรับแก้กระทรวงเกี่ยวกับการค้าขาย ปัดไม่รู้ดีลแลกเก้าอี้เพื่อไทย-ภูมิใจไทย,
ปลื้ม นักท่องเที่ยวชมบูธ “สมุนไพร - นวดไทย” โอซาก้า เอ็กซ์โป 2025,https://www.thairath.co.th/news/politic/2853895,2025-04-20T19:59:24.998547,N/A,“สมศักดิ์” ชื่นชม กรมแพทย์แผนไทย จัดนิทรรศการในงาน “โอซาก้า เอ็กซ์โป 2025” โชว์สมุนไพร ฤาษีดัดตน นวดเฉพาะทาง 7 กลุ่มอาการ” เผย 7 วัน ดึงนักท่องเที่ยวเข้าบูธ กว่า 4 หมื่นคน พบ ญี่ปุ่น - จีน - ยุโรป สนใจเป็นพิเศษ,
ลงมือเหี้ยมโหด ล่าตัวคนร้ายใช้คัตเตอร์กรีดร่างพระ จุดไฟเผาสาหัส,https://www.thairath.co.th/news/local/2853893,2025-04-20T19:59:25.530252,N/A,กองพิสูจน์หลักฐานตรวจสอบกุฏิพระโดนคัตเตอร์กรีดและจุดไฟเผา เร่งล่าตัวคนร้ายเหตุเป็นคดีสะเทือนขวัญ ขณะที่ชาวบ้านเผยช่วงตี 2 ได้ยินเสียงผู้ต้องสงสัยกรีดร้องไปตามถนนในหมู่บ้าน ล่าสุดพระยังไม่พ้นขีดอันตราย,
ต่างประเทศ,https://www.thairath.co.th/news/foreign,2025-04-20T19:59:25.905908,N/A,N/A,
ชาวอเมริกันรวมตัวประท้วงทรัมป์ทั่วสหรัฐฯ,https://www.thairath.co.th/news/foreign/2853880,2025-04-20T19:59:26.262222,N/A,ผู้คนจำนวนมากออกมาเดินขบวนบนท้องถนนทั่วสหรัฐฯ เพื่อแสดงความไม่เห็นด้วยกับนโยบายของประธานาธิบดีโดนัลด์ ทรัมป์ เกี่ยวกับการเนรเทศผู้อพยพ การปลดเจ้าหน้าที่รัฐบาล และสงครามในฉนวนกาซาและยูเครน,
จีนจัดแข่งวิ่งหุ่นยนต์ฮิวแมนนอยด์ครั้งแรกของโลก,https://www.thairath.co.th/news/foreign/2853873,2025-04-20T19:59:26.642542,N/A,จีนจัดแข่งวิ่งฮาล์ฟมาราธอน ระยะทาง 21 กิโลเมตรที่กรุงปักกิ่ง โดยมีหุ่นยนต์ฮิวแมนนอยด์ เข้าร่วมวิ่งแข่งพร้อมกับมนุษย์เป็นครั้งแรกของโลก,
ทำไมจู่ๆ ปูตินประกาศ “หยุดยิงวันอีสเตอร์” กับยูเครน?,https://www.thairath.co.th/news/foreign/2853852,2025-04-20T19:59:27.004977,N/A,"วลาดิเมียร์ ปูติน ผู้นำรัสเซีย ประกาศหยุดยิงยูเครนแต่เพียงฝ่ายเดียวเนื่องในวันอีสเตอร์ โดยจะให้ทหารระงับปฏิบัติการนาน 30 ชั่วโมง อ้างเหตุผลด้านมนุษยธรรม
การหยุดยิงกะทันหันของรัสเซียเกิดขึ้นหลังจากที่ โดนัลด์ ทรัมป์ ผู้นำสหรัฐฯ ออกมาขู่ว่าจะถอนตัวจากการเป็นผู้ผลักดันการเจรจาสันติภาพ หากรัสเซียกับยูเครนไม่แสดงให้เห็นว่าต้องการสันติภาพ
นักวิเคราะห์มองด้วยว่า การหยุดยิงอย่างปัจจุบันทันด่วนครั้งนี้อาจเป็นแผนการทำให้ฝ่ายยูเครนทำผิดพลาด เปิดโอกาสให้รัสเซียกล่าวหารัฐบาลเคียฟว่าไม่ได้ต้องการสันติจริงๆ",
ปากีสถานจับผู้ประท้วง 160 คน โจมตีร้านเคเอฟซี ทำลูกจ้างดับ 1 ศพ,https://www.thairath.co.th/news/foreign/2853851,2025-04-20T19:59:27.373230,N/A,ตำรวจปากีสถานจับกุมตัวผู้ประท้วงกว่า 160 คน หลังเกิดเหตุโจมตีร้านเคเอฟซีหลายแห่งในช่วงที่ผ่านมา จนมีลูกจ้างคนหนึ่งถูกยิงเสียชีวิต,
เมียนมาเตรียมวางผังเมืองกรุงเนปิดอว์ใหม่ หลังเกิดแผ่นดินไหวใหญ่,https://www.thairath.co.th/news/foreign/2853850,2025-04-20T19:59:27.742861,N/A,รัฐบาลเมียนมาเตรียมวางผังเมืองกรุงเนปิดอว์ใหม่ หลังจากได้รับความเสียหายอย่างหนักจากแผ่นดินไหว จนหลายกระทรวงต้องย้ายสำนักงานไปนครย่างกุ้งชั่วคราว,
“ธนกร” มั่นใจพรรคร่วมรัฐบาลยังปึก การันตี สส.รทสช.หนุนงบประมาณปี 69,https://www.thairath.co.th/news/politic/2853887,2025-04-20T19:59:28.162398,N/A,“ธนกร” เผย สส.รวมไทยสร้างชาติพร้อมหนุนสภาฯ ผ่านงบประมาณปี 2569 ชี้เป็นกฎหมายการเงินสำคัญในการบริหารประเทศ มั่นใจไม่มีเหตุสะดุด มองพรรคร่วมรัฐบาลคิดต่างกันบ้างเรื่องธรรมชาติ,
เลขาธิการ ป.ป.ส. เตือนภัยยาเสพติดชนิดใหม่ “ขนม-ลาบูบู้” หากลอง ถึงตาย,https://www.thairath.co.th/news/politic/2853884,2025-04-20T19:59:28.514965,N/A,เลขาธิการ ป.ป.ส. เตือนภัยยาเสพติด “ขนม” - “ลาบูบู้” ระบาดช่วงสงกรานต์ พบเสียชีวิตแล้ว 2 ราย หลังศูนย์พิษวิทยารามาธิบดี รายงานพบผู้ป่วยหมดสติ-หยุดหายใจ,
“พีระพันธุ์” ยัน สัญญาซื้อไฟฟ้าพลังงานหมุนเวียนถ้าผิดยกเลิกได้ ไม่ต้องรอ 25 ปี,https://www.thairath.co.th/news/politic/2853876,2025-04-20T19:59:28.873362,N/A,"“พีระพันธุ์ สาลีรัฐวิภาค” ชี้แจง ปมโครงการประมูลไฟฟ้าพลังงานหมุนเวียน 5,200 เมกะวัตต์ เพื่อพลังงานที่มั่นคงของประเทศ ยืนยันดำเนินการตามกฎหมายทุกประการ หากพบผิดสามารถยกเลิกสัญญาได้ทันที ไม่ต้องรอ 25 ปี",
นายกฯ อิ๊งค์ เตรียมเยือนกัมพูชา ฉลองความสัมพันธ์ 75 ปี 23 - 24 เม.ย. นี้,https://www.thairath.co.th/news/politic/2853875,2025-04-20T19:59:29.352888,N/A,นายกรัฐมนตรี “แพทองธาร” เตรียมเยือนกัมพูชา ตามคำเชิญอย่างเป็นทางการของรัฐบาลกัมพูชา ในโอกาสฉลองความสัมพันธ์ 75 ปี ระหว่างวันที่ 23 - 24 เม.ย. นี้,
"""ท็อป"" ยันไร้สัญญาณปรับ ครม. หนุนกฎหมายผุดกาสิโน มีรายได้ช่วยผู้สูงวัย เพื่อไทยเมิน สว. จ่อสอย",https://www.thairath.co.th/news/politic/2853856,2025-04-20T19:59:29.738862,N/A,“วราวุธ” แจงนายกฯยังไม่ส่งสัญญาณปรับ ครม.มายังพรรคร่วมรัฐบาล ย้ำ ชทพ.สงบเสงี่ยม ไม่แลกหมัดกับใคร พร้อมหนุนเอนเตอร์เทนเมนต์ฯหารายได้เข้าประเทศ “สุทิน” เผยเพื่อไทยยังนิ่งกระแสปรับ ครม. ติง สว.จ้องสอยเอนเตอร์เทนเมนต์คอมเพล็กซ์ต้องมีเหตุผล “นพดล” โอ่ “ทักษิณ” ออกโรงช่วยคลี่คลายเมียนมาได้เยอะ “อนุทิน” ย้ำแน่นแฟ้น “นายใหญ่” ไร้ปัญหาร่วมรัฐบาล,
“โหรวารินทร์” ชี้ การเมืองไทยเปลี่ยนแปลงหลัง พ.ค. ใครบางคนอาจได้รีเทิร์น,https://www.thairath.co.th/news/politic/2853818,2025-04-20T19:59:30.277810,N/A,“โหรวารินทร์” ทำนาย การเมืองไทยเปลี่ยนแปลงหลังเดือน พ.ค. แง้ม ใครบางคนอาจได้รีเทิร์น พร้อมฝากถึงผู้มีอำนาจอย่าใช้ประชานิยมให้มาก ส่วนภัยพิบัติจากธรรมชาติ จากนี้อาจมีบ้างเล็กๆ น้อยๆ แต่จะไม่รุนแรงแล้ว,
“ธนกร” จี้ DSI-ตร. เอาผิดถึงที่สุดโดยไม่ละเว้น เรียกร้องรัฐบาลรื้อทั้งระบบ,https://www.thairath.co.th/news/politic/2853815,2025-04-20T19:59:30.667846,N/A,“ธนกร” จี้ ดีเอสไอ-ตร. เอาผิดถึงที่สุด ผู้รับเหมา-วิศวกรออกแบบคุมงานตึก สตง. หลังพบเปลี่ยนแบบแปลน-อ้างชื่อ 51 วิศวกรคุมงานทิพย์ ลั่น ต้องไม่ละเว้น พร้อมเรียกร้องรัฐบาลรื้อทั้งระบบ ควบคุมมาตรฐานตั้งแต่ต้นทาง,
“ธรรมนัส” เตรียมนำทัพใหญ่พรรคกล้าธรรม ช่วย “ก้องเกียรติ เกตุสมบัติ” หาเสียง,https://www.thairath.co.th/news/politic/2853881,2025-04-20T19:59:31.133460,N/A,โฆษกกล้าธรรม เผย “ธรรมนัส” เตรียมนำทัพใหญ่ เปิดเวทีปราศรัยช่วย “ก้องเกียรติ” สู้เลือกตั้งซ่อม สส. นครศรีธรรมราช 25 เม.ย.นี้ วอนขอโอกาสเข้าไปเป็นปากเสียงในสภาฯ,
ชาวธัญบุรี ไม่สนดราม่า ยังนิยมสนับสนุนทีม “นายกเบี้ยว” 100% เผยปกติน้องพีชเป็นคนน่ารัก,https://www.thairath.co.th/news/local/2853872,2025-04-20T19:59:34.465637,N/A,ปทุมธานี ไม่สนดราม่า เผยชาวธัญบุรี ยังนิยมและสนับสนุนทีม “นายกเบี้ยว” ต่อไป 100% เผยปกติน้องพีชเป็นคนน่ารัก แจงอาจเป็นแค่อารมณ์ชั่ววูบของเด็ก ลั่นต้องแยกแยะ,
ตำรวจ สน.พญาไท เรียกสอบไรเดอร์ คู่กรณี “พ.อ.พิฆราช สุริยะ” วงจรปิดจับนาทีเกิดเหตุ,https://www.thairath.co.th/news/local/2853860,2025-04-20T19:59:34.825844,N/A,"ตำรวจ สน.พญาไท เรียกตัวไรเดอร์ คู่กรณี ""พ.อ.พิฆราช สุริยะ"" ทีมกู้ภัยตึก สตง.ถล่ม ประสบอุบัติเหตุเสียชีวิต มาสอบปากคำ วงจรปิดเผยให้เห็นว่ารถไม่ได้มีการเฉี่ยวชนกัน",
"ตำรวจไซเบอร์ลุยจับ 8 เว็บพนันทั่วประเทศ เงินสะพัด 3,200 ล้าน",https://www.thairath.co.th/news/local/2853861,2025-04-20T19:59:35.266145,N/A,"ตำรวจไซเบอร์เปิดปฏิบัติ การทลาย 8 เครือข่ายเว็บพนันทั่วประเทศ รวบผู้ต้องหา 20 คน เว็บรายใหญ่ชื่อ “Fun586” เปิดรับพนันทุกรูปแบบ เจ้าของเป็นชาวจีน 2 คน และชาวอินโดนีเซีย 1 คน ในปี 68 มีเงินหมุนเวียนกว่า 3,200 ล้านบาท แล้วนำเงินไปฟอกซื้อทองคำและเปิดบริษัทการเกษตรบังหน้า ตัวการใหญ่ยังหนีลอยนวลเร่งไล่ล่า",
กระบะหลับในชน 3 ศพ ผัวเมียแม่ยาย ลูกชาย 8 เดือน รอดปาฏิหาริย์,https://www.thairath.co.th/news/local/central/2853859,2025-04-20T19:59:35.690688,N/A,อุบัติเหตุสยองส่งท้ายสงกรานต์ รถกระบะพุ่งเสียบท้ายรถบรรทุกตู้ทึบจอดริมถนนตายยกครัว 3 ศพผัวเมียกับแม่ยาย ส่วนลูกน้อยวัย 8 เดือนรอดปาฏิหาริย์ แค่ได้รับบาดเจ็บ เผยครอบครัวพ่อแม่ลูกขับรถจากนนทบุรีไปเที่ยวสงกรานต์บ้านเกิดฝ่ายหญิงที่สตูล ขากลับแม่ยายนั่งรถมาด้วย คาดเดินทางไกลจนอ่อนล้าถึงเพชรบุรีเกิดหลับในทำให้รถเสียหลักชนอัดท้ายรถบรรทุกที่จอดข้างทางอย่างจัง,
